Period,Campaign,Reach,Sample,Sample_subcategory,Sample_category,d13C_vs_VPDB,X15N_calib_vs_air,C_N,Season,Period_Season
Before,Oct'16,Control,Alnus A,AqCPOM,Resource,-29.59129893,-1.166393705,18.8724857034159,Autumn,Before_Autumn
Before,Oct'16,Impact,Fraxinus A,AqCPOM,Resource,-28.61616834,0.563739384,23.8670339434037,Autumn,Before_Autumn
Before,Oct'16,Control,Rubus A,AqCPOM,Resource,-29.35567637,-1.65015131,32.5879210897585,Autumn,Before_Autumn
Before,Oct'16,Control,Alnus A,AqCPOM,Resource,-30.35120717,-0.958497874,17.4989881741526,Autumn,Before_Autumn
Before,Oct'16,Impact,Fallopia A,AqCPOM,Resource,-30.06968412,-0.557698701,14.2940670717337,Autumn,Before_Autumn
Before,Oct'16,Impact,Biofilm,Biofilm,Resource,-27.67265811,5.813109103,6.998445577533,Autumn,Before_Autumn
Before,Oct'16,Impact,Biofilm,Biofilm,Resource,-27.81137961,4.93354982,6.91230779483603,Autumn,Before_Autumn
Before,Oct'16,Control,Biofilm,Biofilm,Resource,-27.66551803,6.65068942,6.53678386261217,Autumn,Before_Autumn
Before,Oct'16,Control,Biofilm,Biofilm,Resource,-28.27446464,4.691671018,6.49682891665249,Autumn,Before_Autumn
Before,Oct'16,Impact,FBOM,FBOM,Resource,-27.08921177,2.157940584,12.9138749896587,Autumn,Before_Autumn
Before,Oct'16,Control,Rubus A,AqCPOM,Resource,-30.36854736,0.333854572,33.4144624559928,Autumn,Before_Autumn
Before,Oct'16,Impact,FBOM,FBOM,Resource,-26.94092405,1.635270257,14.2489686574637,Autumn,Before_Autumn
Before,Oct'16,Impact,Biofilm,Biofilm,Resource,-28.82693763,5.954257465,6.81833210039824,Autumn,Before_Autumn
Before,Oct'16,Control,Biofilm,Biofilm,Resource,-27.92234773,5.797707803,6.89867952042175,Autumn,Before_Autumn
Before,Oct'16,Impact,Biofilm,Biofilm,Resource,-26.52602155,6.677556539,7.40191302314564,Autumn,Before_Autumn
Before,Oct'16,Impact,Biofilm,Biofilm,Resource,-29.40985002,5.861120324,6.40646527689566,Autumn,Before_Autumn
Before,Oct'16,Impact,Biofilm,Biofilm,Resource,-27.11098285,6.558658061,6.92286890288335,Autumn,Before_Autumn
Before,Oct'16,Control,Alnus A,AqCPOM,Resource,-28.91196703,-0.817010848,19.2223890034923,Autumn,Before_Autumn
Before,Oct'16,Impact,Tamus A,AqCPOM,Resource,-29.97432231,0.400707729,22.0612293732919,Autumn,Before_Autumn
Before,Oct'16,Impact,Corylus A,AqCPOM,Resource,-30.72729351,0.283790892,18.423728099708,Autumn,Before_Autumn
Before,Oct'16,Control,Alnus A,AqCPOM,Resource,-30.22633716,-1.536346639,18.085311227941,Autumn,Before_Autumn
Before,Oct'16,Impact,Alnus A,AqCPOM,Resource,-30.94447704,-0.602002768,16.9972671895294,Autumn,Before_Autumn
Before,Oct'16,Control,Fallopia A,AqCPOM,Resource,-28.90858732,1.210471693,19.4624637487861,Autumn,Before_Autumn
Before,Oct'16,Control,Alnus A,AqCPOM,Resource,-28.6651162,-0.833145157,21.8771190782973,Autumn,Before_Autumn
Before,Oct'16,Control,Bryophyte,Bryophyte,Resource,-29.5193111,6.215822914,8.56137266885692,Autumn,Before_Autumn
Before,Oct'16,Control,Bryophyte,Bryophyte,Resource,-31.03026423,7.01212879,10.0601589039895,Autumn,Before_Autumn
Before,Oct'16,Impact,FBOM,FBOM,Resource,-26.37873823,3.606436276,13.162063328205,Autumn,Before_Autumn
Before,Oct'16,Impact,Salmo trutta M,Top-predator,Fish,-24.23813605,9.573696807,3.19620032730642,Autumn,Before_Autumn
Before,Oct'16,Impact,Salmo trutta M,Top-predator,Fish,-24.54094046,9.825877113,3.2539400322141,Autumn,Before_Autumn
Before,Oct'16,Impact,Salmo trutta M,Top-predator,Fish,-24.66932545,9.500710491,3.22595723537966,Autumn,Before_Autumn
Before,Oct'16,Impact,Anguilla anguilla M,Top-predator,Fish,-24.16182594,9.35374133,3.5614346245846,Autumn,Before_Autumn
Before,Oct'16,Impact,Anguilla anguilla M,Top-predator,Fish,-23.76445379,11.60384771,3.55398840806024,Autumn,Before_Autumn
Before,Oct'16,Impact,Anguilla anguilla M,Top-predator,Fish,-24.40596976,9.994348113,3.39711730695022,Autumn,Before_Autumn
Before,Oct'16,Impact,Anguilla anguilla M,Top-predator,Fish,-23.94526322,9.214045147,3.41393229028524,Autumn,Before_Autumn
Before,Oct'16,Impact,Barbatula quignardi M,Unknown,Fish,-23.83596034,11.62979129,3.31365410147186,Autumn,Before_Autumn
Before,Oct'16,Impact,Barbatula quignardi M,Unknown,Fish,-24.4815624,11.08697183,3.31661557750446,Autumn,Before_Autumn
Before,Oct'16,Impact,Barbatula quignardi M,Unknown,Fish,-24.91366631,10.42241713,3.26380167245262,Autumn,Before_Autumn
Before,Oct'16,Impact,Barbatula quignardi M,Unknown,Fish,-24.2609136,11.29352262,3.28293648393507,Autumn,Before_Autumn
Before,Oct'16,Impact,Phoxinus bigerri M,Omnivorous,Fish,-23.21691786,14.47360644,3.38060958734196,Autumn,Before_Autumn
Before,Oct'16,Impact,Phoxinus bigerri M,Omnivorous,Fish,-22.66018824,13.81404089,3.49296384551154,Autumn,Before_Autumn
Before,Oct'16,Control,Salmo trutta M,Top-predator,Fish,-25.54292402,8.98703885,3.69013625368551,Autumn,Before_Autumn
Before,Oct'16,Control,Phoxinus bigerri M,Omnivorous,Fish,-24.72570622,9.424587252,3.35629225438834,Autumn,Before_Autumn
Before,Oct'16,Control,Phoxinus bigerri M,Omnivorous,Fish,-24.04435088,10.81655993,3.35457705998309,Autumn,Before_Autumn
Before,Oct'16,Control,Anguilla anguilla M,Top-predator,Fish,-25.67181371,8.604604166,3.93866400965559,Autumn,Before_Autumn
Before,Oct'16,Control,Anguilla anguilla M,Top-predator,Fish,-25.05361486,11.66172184,3.58690929057105,Autumn,Before_Autumn
Before,Oct'16,Control,Salmo trutta M,Top-predator,Fish,-25.23748886,8.986539934,3.4115896769809,Autumn,Before_Autumn
Before,Oct'16,Control,Salmo trutta M,Top-predator,Fish,-25.04084583,8.81640994,3.33340594242535,Autumn,Before_Autumn
Before,Oct'16,Control,Salmo trutta M,Top-predator,Fish,-24.81560018,10.28471661,3.35280202941813,Autumn,Before_Autumn
Before,Oct'16,Control,Salmo trutta M,Top-predator,Fish,-25.25587626,10.84749266,3.34419779463075,Autumn,Before_Autumn
Before,Oct'16,Control,Phoxinus bigerri M,Omnivorous,Fish,-25.76663738,10.2877101,3.70542437165987,Autumn,Before_Autumn
Before,Oct'16,Control,Phoxinus bigerri M,Omnivorous,Fish,-25.5102353,9.76883856,3.79970885740238,Autumn,Before_Autumn
Before,Oct'16,Control,Phoxinus bigerri M,Omnivorous,Fish,-24.71344795,9.569272584,3.57900541161829,Autumn,Before_Autumn
Before,Oct'16,Impact,FBOM,FBOM,Resource,-27.2509092,2.275136164,12.870247832181,Autumn,Before_Autumn
Before,Oct'16,Impact,FBOM,FBOM,Resource,-27.47768714,2.855873154,13.4550569970022,Autumn,Before_Autumn
Before,Oct'16,Impact,FBOM,FBOM,Resource,-27.35203991,3.215091911,14.3251469088002,Autumn,Before_Autumn
Before,Oct'16,Control,FBOM,FBOM,Resource,-23.81757294,2.526589294,15.944110247312,Autumn,Before_Autumn
Before,Oct'16,Control,FBOM,FBOM,Resource,-26.2041755,1.614132679,15.3866071597145,Autumn,Before_Autumn
Before,Oct'16,Control,FBOM,FBOM,Resource,-27.26440761,1.36631101,16.0475457045328,Autumn,Before_Autumn
Before,Oct'16,Control,FBOM,FBOM,Resource,-26.14300827,2.242215127,14.5232003931969,Autumn,Before_Autumn
Before,Oct'16,Impact,Perla,Predator,Invertebrate,-26.80565334,8.382573886,3.86986985434875,Autumn,Before_Autumn
Before,Oct'16,Impact,Perla,Predator,Invertebrate,-26.63642398,8.353477414,3.87949407582259,Autumn,Before_Autumn
Before,Oct'16,Impact,Perla,Predator,Invertebrate,-26.66598814,7.72439164,4.11206289161411,Autumn,Before_Autumn
Before,Oct'16,Impact,Ecdyonurus,Collector-gatherer,Invertebrate,-27.50397929,7.696298495,4.69027786060423,Autumn,Before_Autumn
Before,Oct'16,Impact,Ecdyonurus,Collector-gatherer,Invertebrate,-27.16348167,7.130422296,4.20782085977442,Autumn,Before_Autumn
Before,Oct'16,Impact,Sericostoma,Shredder,Invertebrate,-27.77515405,6.492306582,5.69857415803328,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-26.0359656,8.252141428,4.60959136037161,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-26.58545128,6.721065045,4.93315752060202,Autumn,Before_Autumn
Before,Oct'16,Impact,Dugesia,Predator,Invertebrate,-26.00436253,8.68758517,4.7893325191772,Autumn,Before_Autumn
Before,Oct'16,Impact,Ancylus,Scraper,Invertebrate,-28.35420389,8.482906545,4.14960942111453,Autumn,Before_Autumn
Before,Oct'16,Impact,Ancylus,Scraper,Invertebrate,-28.71407114,8.345450802,4.32585798854997,Autumn,Before_Autumn
Before,Oct'16,Impact,Dugesia,Predator,Invertebrate,-26.5253035,8.467856646,5.05749971190167,Autumn,Before_Autumn
Before,Oct'16,Impact,Philopotamus,Collector-filterer,Invertebrate,-27.51825165,7.034102943,5.32539398188626,Autumn,Before_Autumn
Before,Oct'16,Impact,Philopotamus,Collector-filterer,Invertebrate,-27.17571512,7.100322498,5.43828175069496,Autumn,Before_Autumn
Before,Oct'16,Impact,Philopotamus,Collector-filterer,Invertebrate,-26.89128747,6.809357785,5.07221124534914,Autumn,Before_Autumn
Before,Oct'16,Impact,Dugesia,Predator,Invertebrate,-26.76997245,8.656482046,5.02128022550568,Autumn,Before_Autumn
Before,Oct'16,Impact,Potamopyrgus,Scraper,Invertebrate,-25.53133589,7.584929243,4.89992554023662,Autumn,Before_Autumn
Before,Oct'16,Impact,Potamopyrgus,Scraper,Invertebrate,-26.25820656,7.238781568,5.22427295108408,Autumn,Before_Autumn
Before,Oct'16,Impact,Philopotamus,Collector-filterer,Invertebrate,-27.35411956,6.860527442,5.09627991666935,Autumn,Before_Autumn
Before,Oct'16,Impact,Dugesia,Predator,Invertebrate,-25.98397345,9.000623068,4.92859647724673,Autumn,Before_Autumn
Before,Oct'16,Impact,Polycelis,Predator,Invertebrate,-26.85152876,9.044769438,4.92816217882759,Autumn,Before_Autumn
Before,Oct'16,Impact,Hydropsyche,Collector-filterer,Invertebrate,-26.66802705,7.223731669,4.90383253626135,Autumn,Before_Autumn
Before,Oct'16,Impact,Hydropsyche,Collector-filterer,Invertebrate,-26.69963012,6.683941961,4.55693085813824,Autumn,Before_Autumn
Before,Oct'16,Impact,Echinogammarus,Shredder,Invertebrate,-25.18472155,5.22008846,4.94618299892551,Autumn,Before_Autumn
Before,Oct'16,Impact,Echinogammarus,Shredder,Invertebrate,-25.00325875,4.451540288,4.92368256519474,Autumn,Before_Autumn
Before,Oct'16,Impact,Baetis,Collector-gatherer,Invertebrate,-28.29609502,7.331087615,4.36789843042527,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-26.60787927,6.415050434,4.68544684762517,Autumn,Before_Autumn
Before,Oct'16,Impact,Dolichopodidae,Predator,Invertebrate,-26.64152125,8.954470045,4.9512254016678,Autumn,Before_Autumn
Before,Oct'16,Impact,Calopteryx,Predator,Invertebrate,-26.76079736,7.591952529,4.10859581143691,Autumn,Before_Autumn
Before,Oct'16,Impact,Atherix,Predator,Invertebrate,-26.1001912,8.727718234,4.39451489964704,Autumn,Before_Autumn
Before,Oct'16,Impact,Boyeria,Predator,Invertebrate,-26.09917175,8.998616415,4.25320308949132,Autumn,Before_Autumn
Before,Oct'16,Impact,Boyeria,Predator,Invertebrate,-26.1399499,9.201288387,4.32144560288572,Autumn,Before_Autumn
Before,Oct'16,Impact,Boyeria,Predator,Invertebrate,-25.75153795,9.102962381,4.19936374532893,Autumn,Before_Autumn
Before,Oct'16,Impact,Boyeria,Predator,Invertebrate,-26.11956082,8.404647071,3.96773916043304,Autumn,Before_Autumn
Before,Oct'16,Impact,Onychogomphus,Predator,Invertebrate,-25.47220756,8.815007648,3.99577412951856,Autumn,Before_Autumn
Before,Oct'16,Impact,Onychogomphus,Predator,Invertebrate,-25.44774067,8.991593129,3.86569821699562,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-26.24699257,7.43844356,4.66993950897603,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-25.74236286,6.564546096,4.6648679842812,Autumn,Before_Autumn
Before,Oct'16,Impact,Onychogomphus,Predator,Invertebrate,-24.83708775,8.13374889,3.90946852406216,Autumn,Before_Autumn
Before,Oct'16,Impact,Perla,Predator,Invertebrate,-26.84337313,7.382257271,4.17224640606701,Autumn,Before_Autumn
Before,Oct'16,Impact,Perla,Predator,Invertebrate,-27.68925176,8.613412436,3.87300002070756,Autumn,Before_Autumn
Before,Oct'16,Impact,Hydropsyche,Collector-filterer,Invertebrate,-27.72945425,8.611415473,4.45625702432112,Autumn,Before_Autumn
Before,Oct'16,Impact,Hydropsyche,Collector-filterer,Invertebrate,-28.24404618,7.537049548,4.27440663229409,Autumn,Before_Autumn
Before,Oct'16,Impact,Hydropsyche,Collector-filterer,Invertebrate,-28.06916533,7.23351122,4.30085101846637,Autumn,Before_Autumn
Before,Oct'16,Impact,Hydropsyche,Collector-filterer,Invertebrate,-27.96363378,7.224524888,4.12200051687371,Autumn,Before_Autumn
Before,Oct'16,Impact,Atherix,Predator,Invertebrate,-26.98771824,9.088689555,4.62041747433573,Autumn,Before_Autumn
Before,Oct'16,Impact,Atherix,Predator,Invertebrate,-27.79176812,8.56448685,4.46318186686068,Autumn,Before_Autumn
Before,Oct'16,Impact,Atherix,Predator,Invertebrate,-27.24802939,8.814107186,4.40566213721253,Autumn,Before_Autumn
Before,Oct'16,Impact,Odontocerum,Shredder,Invertebrate,-28.05609952,8.924938615,5.14121626486175,Autumn,Before_Autumn
Before,Oct'16,Impact,Lepidostoma,Shredder,Invertebrate,-29.72048278,3.763788552,5.63563931530045,Autumn,Before_Autumn
Before,Oct'16,Impact,Dugesia,Predator,Invertebrate,-26.35151377,8.715257533,4.73461550914939,Autumn,Before_Autumn
Before,Oct'16,Impact,Ancylus,Scraper,Invertebrate,-28.39983084,8.66832891,3.8285567260964,Autumn,Before_Autumn
Before,Oct'16,Impact,Polycelis,Predator,Invertebrate,-26.50227312,9.416191436,4.50909214353777,Autumn,Before_Autumn
Before,Oct'16,Impact,Potamopyrgus,Scraper,Invertebrate,-27.60080627,6.890033638,5.12759297846334,Autumn,Before_Autumn
Before,Oct'16,Impact,Potamopyrgus,Scraper,Invertebrate,-27.33245462,7.07774813,4.91439595126604,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-27.8962946,7.157626638,4.98186190653623,Autumn,Before_Autumn
Before,Oct'16,Impact,Leuctra,Shredder,Invertebrate,-27.78372762,7.289426175,4.80675332408169,Autumn,Before_Autumn
Before,Oct'16,Impact,Baetis,Collector-gatherer,Invertebrate,-29.75767008,8.896981137,4.55539629713596,Autumn,Before_Autumn
Before,Oct'16,Impact,Onychogomphus,Predator,Invertebrate,-27.43497098,8.618404843,4.02408839934339,Autumn,Before_Autumn
Before,Oct'16,Impact,Boyeria,Predator,Invertebrate,-28.37269416,9.772649275,4.09053743239029,Autumn,Before_Autumn
Before,Oct'16,Impact,Calopteryx,Predator,Invertebrate,-29.04407581,9.13661666,4.38888779718952,Autumn,Before_Autumn
Before,Oct'16,Impact,Calopteryx,Predator,Invertebrate,-27.96664897,9.755675093,3.85403173035615,Autumn,Before_Autumn
Before,Oct'16,Impact,Sericostoma,Shredder,Invertebrate,-28.64004075,6.941954667,5.54990397070482,Autumn,Before_Autumn
Before,Oct'16,Impact,Echinogammarus,Shredder,Invertebrate,-26.58167305,6.511609208,4.93438569630708,Autumn,Before_Autumn
Before,Oct'16,Impact,Echinogammarus,Shredder,Invertebrate,-26.87816644,5.983412578,4.88208153863538,Autumn,Before_Autumn
Before,Oct'16,Impact,Atherix,Predator,Invertebrate,-28.47521052,8.18506394,5.18530099023659,Autumn,Before_Autumn
Before,Oct'16,Impact,Atherix,Predator,Invertebrate,-27.40280899,8.379767802,4.33067801502788,Autumn,Before_Autumn
Before,Oct'16,Impact,Dolichopodidae,Predator,Invertebrate,-26.50930856,8.608420029,3.93295636187249,Autumn,Before_Autumn
Before,Oct'16,Impact,Calopteryx,Predator,Invertebrate,-28.21489937,9.302364563,3.85381922594961,Autumn,Before_Autumn
Before,Oct'16,Impact,Ancylus,Scraper,Invertebrate,-27.15656871,8.975861164,4.07182440531995,Autumn,Before_Autumn
Before,Oct'16,Impact,Potamopyrgus,Scraper,Invertebrate,-27.21888258,8.116168727,5.8888248041856,Autumn,Before_Autumn
Before,Oct'16,Impact,Ancylus,Scraper,Invertebrate,-24.63397475,9.15498904,4.17372633185002,Autumn,Before_Autumn
Before,Oct'16,Impact,Radix,Scraper,Invertebrate,-27.58634755,9.328497728,4.51591739221253,Autumn,Before_Autumn
Before,Oct'16,Impact,Radix,Scraper,Invertebrate,-27.3549481,7.475063887,4.41914461312766,Autumn,Before_Autumn
Before,Oct'16,Impact,Ancylus,Scraper,Invertebrate,-25.69658538,9.386668271,4.0956388012027,Autumn,Before_Autumn
Before,Oct'16,Control,Radix,Scraper,Invertebrate,-27.2828895,8.205204491,4.72439300404513,Autumn,Before_Autumn
Before,Oct'16,Control,Radix,Scraper,Invertebrate,-25.86810515,4.478278001,5.04830844613797,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-27.02916203,8.515113071,4.5808887713284,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-25.79909128,8.704668805,4.62968605901424,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-27.40772341,8.608386528,4.47892995718526,Autumn,Before_Autumn
Before,Oct'16,Control,Potamopyrgus,Scraper,Invertebrate,-25.5961093,8.127978081,5.2106135274983,Autumn,Before_Autumn
Before,Oct'16,Control,Ephemera,Collector-gatherer,Invertebrate,-26.58260169,6.205341353,5.00599356815111,Autumn,Before_Autumn
Before,Oct'16,Control,Ephemera,Collector-gatherer,Invertebrate,-26.78964331,6.576429297,4.94448726336917,Autumn,Before_Autumn
Before,Oct'16,Control,Ephemera,Collector-gatherer,Invertebrate,-25.90058226,6.570411655,4.3829774594637,Autumn,Before_Autumn
Before,Oct'16,Control,Atherix,Predator,Invertebrate,-25.91377609,8.240307404,4.41935557419572,Autumn,Before_Autumn
Before,Oct'16,Control,Potamopyrgus,Scraper,Invertebrate,-24.91611969,8.176119219,5.12076727686498,Autumn,Before_Autumn
Before,Oct'16,Control,Potamopyrgus,Scraper,Invertebrate,-24.82985236,8.104910452,5.09200479061916,Autumn,Before_Autumn
Before,Oct'16,Control,Echinogammarus,Shredder,Invertebrate,-26.39484337,4.906533547,5.26162275876738,Autumn,Before_Autumn
Before,Oct'16,Control,Gomphus,Predator,Invertebrate,-26.09544496,9.134930233,4.27774775616192,Autumn,Before_Autumn
Before,Oct'16,Control,Onychogomphus,Predator,Invertebrate,-25.79401673,8.179128041,4.38929340512292,Autumn,Before_Autumn
Before,Oct'16,Control,Onychogomphus,Predator,Invertebrate,-25.12011658,7.86821652,3.88899703293266,Autumn,Before_Autumn
Before,Oct'16,Control,Sericostoma,Shredder,Invertebrate,-27.94258091,3.825363806,7.14990323247527,Autumn,Before_Autumn
Before,Oct'16,Control,Sericostoma,Shredder,Invertebrate,-28.1364287,4.258634055,5.58704814197595,Autumn,Before_Autumn
Before,Oct'16,Control,Sericostoma,Shredder,Invertebrate,-27.11136973,4.757095429,5.51676398250246,Autumn,Before_Autumn
Before,Oct'16,Control,Boyeria,Predator,Invertebrate,-26.36439607,8.219245656,4.05602796267194,Autumn,Before_Autumn
Before,Oct'16,Control,Tanypodinae,Predator,Invertebrate,-25.0500878,7.313590484,4.46051963185845,Autumn,Before_Autumn
Before,Oct'16,Control,Baetis,Collector-gatherer,Invertebrate,-29.68213642,8.965433307,4.71816778372007,Autumn,Before_Autumn
Before,Oct'16,Control,Silo,Scraper,Invertebrate,-25.44285791,8.798945202,6.67951512496816,Autumn,Before_Autumn
Before,Oct'16,Control,Silo,Scraper,Invertebrate,-23.90628438,9.031627372,6.58755378612446,Autumn,Before_Autumn
Before,Oct'16,Control,Limnephilidae,Shredder,Invertebrate,-28.43278238,3.045076183,5.96540794839465,Autumn,Before_Autumn
Before,Oct'16,Control,Perla,Predator,Invertebrate,-26.90534303,8.431869019,3.77543938827216,Autumn,Before_Autumn
Before,Oct'16,Control,Epeorus,Scraper,Invertebrate,-29.04375812,6.904390805,4.72855353091426,Autumn,Before_Autumn
Before,Oct'16,Control,Ecdyonurus,Collector-gatherer,Invertebrate,-27.97404312,8.033701684,5.32110695638058,Autumn,Before_Autumn
Before,Oct'16,Control,Tipula,Shredder,Invertebrate,-28.10801122,1.416300989,4.53795198640288,Autumn,Before_Autumn
Before,Oct'16,Control,Normandia,Scraper,Invertebrate,-26.92868596,3.866484362,4.73355479239809,Autumn,Before_Autumn
Before,Oct'16,Control,Atherix,Predator,Invertebrate,-25.84476222,8.172107458,4.5586863402484,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-28.94328204,9.587256349,4.21867009799333,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-29.21020334,8.667560011,4.41433681977888,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-29.23354626,9.772800321,4.11822204558356,Autumn,Before_Autumn
Before,Oct'16,Control,Potamopyrgus,Scraper,Invertebrate,-26.44660377,7.43193745,5.67296837985327,Autumn,Before_Autumn
Before,Oct'16,Control,Onychogomphus,Predator,Invertebrate,-25.77270362,7.505152098,3.89669416078506,Autumn,Before_Autumn
Before,Oct'16,Control,Echinogammarus,Shredder,Invertebrate,-26.47705107,5.217445068,5.26909643339765,Autumn,Before_Autumn
Before,Oct'16,Control,Echinogammarus,Shredder,Invertebrate,-26.35018733,4.669839615,5.39925227834855,Autumn,Before_Autumn
Before,Oct'16,Control,Calopteryx,Predator,Invertebrate,-25.89855244,8.140013365,4.05929932114779,Autumn,Before_Autumn
Before,Oct'16,Control,Ecdyonurus,Collector-gatherer,Invertebrate,-27.96287911,6.905393745,4.2844993630691,Autumn,Before_Autumn
Before,Oct'16,Control,Ecdyonurus,Collector-gatherer,Invertebrate,-28.40943945,7.603440257,5.00610753531532,Autumn,Before_Autumn
Before,Oct'16,Control,Leuctra,Shredder,Invertebrate,-25.95132776,5.789121091,4.86630860299217,Autumn,Before_Autumn
Before,Oct'16,Control,Sericostoma,Shredder,Invertebrate,-27.3031877,4.737036621,6.70477308764312,Autumn,Before_Autumn
Before,Oct'16,Control,Polycelis,Predator,Invertebrate,-26.35837562,9.236089169,4.71204885179759,Autumn,Before_Autumn
Before,Oct'16,Control,Dugesia,Predator,Invertebrate,-26.30918634,8.556299103,4.89647813945807,Autumn,Before_Autumn
Before,Oct'16,Control,Dugesia,Predator,Invertebrate,-28.69076722,9.61608981,4.13649660121562,Autumn,Before_Autumn
Before,Oct'16,Control,Polycelis,Predator,Invertebrate,-26.81235166,8.660573686,5.16158166455085,Autumn,Before_Autumn
Before,Oct'16,Control,Ancylus,Scraper,Invertebrate,-30.33655848,8.782895792,4.25580627487343,Autumn,Before_Autumn
Before,Oct'16,Control,Physa,Scraper,Invertebrate,-27.38212747,7.555664169,4.50346843500345,Autumn,Before_Autumn
Before,Oct'16,Control,Physa,Scraper,Invertebrate,-27.45796094,8.11914797,4.66638648489008,Autumn,Before_Autumn
Before,Oct'16,Control,Echinogammarus,Shredder,Invertebrate,-26.19441136,4.632967943,5.15392578880861,Autumn,Before_Autumn
Before,Oct'16,Control,Echinogammarus,Shredder,Invertebrate,-25.73326188,5.375924342,5.16790483542318,Autumn,Before_Autumn
Before,Oct'16,Control,Boyeria,Predator,Invertebrate,-26.16366806,8.439992838,4.07244190758579,Autumn,Before_Autumn
Before,Oct'16,Control,Echinogammarus,Shredder,Invertebrate,-25.95051452,5.101200924,5.03058733487155,Autumn,Before_Autumn
Before,Oct'16,Control,Onychogomphus,Predator,Invertebrate,-26.24257586,8.047960514,4.15289029377917,Autumn,Before_Autumn
Before,Oct'16,Control,Atherix,Predator,Invertebrate,-25.94846497,8.831022522,5.10437475044967,Autumn,Before_Autumn
Before,Oct'16,Control,Onychogomphus,Predator,Invertebrate,-25.70046902,7.575716973,3.93484211090644,Autumn,Before_Autumn
